,group,names,scores,logfoldchanges,pvals,pvals_adj
18584,B,ADAM28,29.827225,3.1855757,1.7334126472821293e-195,3.819079507529806e-193
18585,B,IRF8,29.792465,3.741851,4.891222042112032e-195,1.0649628980396161e-192
18586,B,RPS14,29.775833,1.391377,8.031311864864416e-195,1.7283196358493691e-192
18587,B,POU2F2,29.55575,3.1835268,5.539842262110031e-192,1.1650665993735268e-189
18588,B,RPL17,29.539516,1.8082277,8.954707098177778e-192,1.862076002988496e-189
18589,B,STK17A,29.461618,2.520919,8.937531874590743e-191,1.8378544711450096e-188
18590,B,RPLP1,29.434637,1.3502802,1.9800293754383748e-190,4.026857544092088e-188
18591,B,EEF1A1,29.299648,1.3319144,1.0478579700065565e-188,2.107902983794711e-186
18592,B,HLA-DQA2,29.278858,3.312526,1.9278919020006596e-188,3.836504884981313e-186
18593,B,RPL36,29.269121,1.3739233,2.5645294910626972e-188,5.049122052244398e-186
18594,B,RPL6,29.16247,1.5882461,5.805074867333756e-187,1.1308896902078507e-184
18595,B,RPS3,29.10742,1.4387853,2.89193269962305e-186,5.517628708445752e-184
18596,B,RPS19,29.007515,1.4792598,5.289514151812877e-185,9.989085551796012e-183
18597,B,RPL37A,28.602985,1.3809808,6.168133650383914e-180,1.141536494676551e-177
18598,B,RPL36A,28.35228,1.6669611,7.845626966296132e-177,1.437614042230124e-174
18599,B,HVCN1,28.314104,4.40918,2.3171520842611062e-176,4.204268002296107e-174
18600,B,LIMD2,27.879135,2.2789693,4.777918253833638e-171,8.502397415740301e-169
18601,B,FCMR,27.67016,3.6167774,1.596698767428162e-168,2.814295627504095e-166
18602,B,BCL11A,27.600815,4.90564,1.0879204107320274e-167,1.8994474567375124e-165
18603,B,RPS4X,27.258606,1.4383154,1.3140068694122397e-163,2.2516967715011405e-161
18604,B,RCSD1,26.670097,2.415824,1.0465284559892907e-156,1.744874066215658e-154
18605,B,HLA-DMA,26.286373,2.2819426,2.7454907407298354e-152,4.418330185972788e-150
18606,B,RPL8,26.27947,1.1934346,3.292458101853833e-152,5.2528898354318e-150
18607,B,CD22,25.906658,5.1479626,5.6032601311447435e-148,8.64162793725798e-146
18608,B,LYL1,25.847248,3.23068,2.6127714190792143e-147,3.9962446820577705e-145
18609,B,NACA,25.522947,1.2264193,1.0967522034935662e-143,1.6637371336111007e-141
18610,B,TMEM243,25.22933,2.341395,1.909771849052864e-140,2.850334484711399e-138
18611,B,RPL28,25.206068,1.0596586,3.4367424155247364e-140,5.088303350729304e-138
18612,B,CD19,25.203001,7.2090473,3.713478850779096e-140,5.454393102489582e-138
18613,B,REL,25.164,1.9891183,9.931233787733073e-140,1.447223178815559e-137
18614,B,MARCH1,25.080873,3.0092213,8.042438058575157e-139,1.162823446484769e-136
18615,B,LY86,24.935507,3.2072163,3.067003299855228e-137,4.40007985042021e-135
18616,B,UBA52,24.809881,1.028322,7.013438853761732e-136,9.984439451274489e-134
18617,B,SMIM14,24.450548,2.404246,4.96535851887522e-132,6.9616583415775536e-130
18618,B,ERP29,24.329615,1.4697752,9.529522369422733e-131,1.316140824559004e-128
18619,B,TNFAIP8,24.166817,1.9411557,4.9703420925585126e-129,6.8137867486652145e-127
18620,B,RPL14,24.142937,1.2300501,8.857652775650083e-129,1.2053572052864417e-126
18621,B,RPL13A,24.055183,1.1839685,7.367616807403831e-128,9.880614801059617e-126
