Mixture,Macrophages,CD8_T,Malignant,Neutrophils,Acinar,Monocytes,Cycling_T,NK,B,CD4_T,Dendritic,Mast,Plasma,Treg,Stellate,Vascular,CAF,Endothelial,Endocrine,Ductal,Schwann,P-value,Correlation,RMSE
TCGA-IB-A6UG-01A-32R-A33R-07,0.0225183576685529,0.107809121326339,0,0.0340064276495264,0.522849786970958,0,0,0,0.0747678345803842,0,0,0,0,0,0,0,0.0673814276009161,0.0383066810925694,0,0.132360363110754,0,0,0.829894503906454,0.566559225770705
TCGA-OE-A75W-01A-12R-A32O-07,0.0454788617787384,0.050318412077165,0.391383078861242,0.00531837731568298,0,0,0,0,0.0347606218334809,0,0.0230081838215995,0.00469321326897976,0,0,0.0427461662208341,0,0.263350067502974,0.0324346468098525,0.0142649086479609,0.09224346186149,0,0,0.763497766696136,0.686567331227438
TCGA-US-A77G-01A-11R-A32O-07,0.00967305559924505,0.00556425287472173,0.384633820099653,0,0.25981996584933,0,0.000433835384391956,0,0.0305061124265677,0,0.010169648441017,0.00159941409004699,0,0,0,0.0219087760591935,0.0608771374315008,0.0584199566835072,0.031607531668323,0.124786493392502,0,0,0.782421975713777,0.684812426928479
TCGA-HZ-8001-01A-11R-2204-07,0.040227340637549,0.0685737100919574,0.0193352001221175,0.012740477921096,0,0,0,0,0.0953454152576284,0,0.00746831516529946,0.000228157370526753,0,0.0116099486226545,0,0,0.341358968061968,0.0756318231377893,0.268548129379423,0.0589325142319903,0,0,0.7501976271525,0.689745523224078
TCGA-IB-A5ST-01A-11R-A32O-07,0.0626145534077247,0.0892755421347062,0.0886451731808671,0,0,0.00741407040823309,0,0,0.213470560938562,0,0.000186723691099057,0,0,0.0319184589087496,0.00655245717773852,0,0.340024781713329,0.0910927887616238,0,0.0571841062806595,0.0116207833967074,0,0.792478714187049,0.652236901076095
TCGA-XD-AAUL-01A-21R-A39D-07,0.0447428303546665,0.0236334061827691,0.318691486973465,0.0151408408432202,0.00294036213697306,0,0,0,0.0657002745944721,0,0.0188256002461754,0,0,0.0278166743762982,0.0281979814236702,0,0.272135660282553,0.014019977936662,0,0.168154904649075,0,0,0.709524833131558,0.730160900239628
TCGA-HZ-7922-01A-11R-2156-07,0.0242688710055839,0.035866486389933,0.142907302127893,0,0.227283991016313,0.00112186262074088,0,0,0.0697837394186251,0,0.0218076506159986,0,0,0,0,0,0.330527987553238,0.0452432533026784,0.0304292701213344,0.0707595858276607,0,0,0.703727937607345,0.732837233093263
TCGA-2J-AAB6-01A-11R-A41B-07,0.0529569697557989,0.0139573129610931,0.296008416969652,0.0138575756839379,0,0,0.0335840912801664,0,0.0500379214710963,0,0,6.92248999079336e-05,0,0,0,0,0.280196517643421,0.072020833198164,0.176994789151665,0,0.0103163469850971,0,0.694819698954481,0.745118126690043
TCGA-2J-AABF-01A-31R-A41B-07,0.0715218462572752,0.0307667954871789,0.108052464298901,0,0.0133955082982841,0.0114229665454312,0,0,0.051881085421412,0,0,0,0,0.0180522097549009,0.00758286037954481,0,0.205825257633819,0.0745100605103263,0.151645792347535,0.255343153065391,0,0,0.73360366838959,0.734793026925016
TCGA-HZ-A49I-01A-12R-A26U-07,0.0311330401837615,0.0515526791871194,0.354870362346761,0,0,0.0258591231383646,0,0,0.0509039151069318,0,0.0173303617690193,0.000418179053011976,0,0,0.0117298661585462,0,0.231004505151843,0.0794331057836883,0,0.145764862120953,0,0,0.748309748059616,0.710068782748247
